generic_name,pharmacology,mechanism,indications,adult_dose,pediatric_dose,renal_dose,hepatic_dose,contraindications,side_effects,interactions,pregnancy
Paracetamol,Analgesic/Antipyretic,Inhibits prostaglandins in CNS,Fever; Mild pain,500–1000mg q6h (max 4g/day),10–15mg/kg q6h (max 60mg/kg/day),"Reduce if CrCl < 30","Avoid in liver failure",Hypersensitivity; Severe hepatic impairment,Nausea; Rash; Hepatotoxicity,Warfarin ↑ INR,Safe — Category B
Ibuprofen,NSAID,COX inhibition → ↓ prostaglandins,Pain; Inflammation; Fever,400mg q8h (max 1200mg/day),10mg/kg q6–8h,"Avoid CrCl < 30","Avoid in hepatic impairment",Peptic ulcer; renal impairment,Gastritis; renal toxicity,ACEi ↑ renal failure risk; warfarin↑ bleed,Avoid in 3rd trimester — Category C/D
Amoxicillin,Penicillin antibiotic,Inhibits bacterial cell wall,RTI; UTI; Dental infections,500mg q8h or 875mg BID,20–40mg/kg/day in divided doses,"Adjust if CrCl < 30",Safe with caution,Penicillin allergy,Diarrhea; rash; anaphylaxis,↓ Effect with OCP; allopurinol rash,Safe — Category B
Azithromycin,Macrolide antibiotic,Binds 50S ribosome to inhibit protein synthesis,Bacterial RTI; ENT infections,500mg OD day1 → 250mg OD x4 days,10mg/kg day1 → 5mg/kg x4 days,"No major renal change",Safe,QT prolongation,Nausea; diarrhea; QT prolongation,Antiarrhythmics ↑ QT,Use with caution — Category B
Pantoprazole,PPI,Inhibits H+/K+ ATPase in gastric parietal cells,GERD; Ulcers,40mg OD,1mg/kg/day OD,No major change,Use caution,Serious liver disease,Nausea; headache,↓ Absorption of drugs needing acid,Safe — Category B
generic_name,pharmacology,mechanism,indications,adult_dose,pediatric_dose,renal_dose,hepatic_dose,contraindications,side_effects,interactions,pregnancy
Ciprofloxacin,Fluoroquinolone,Inhibits DNA gyrase,UTI; RTI; GI infections,500mg BD,10mg/kg BD,"Adjust if CrCl < 50","Use caution",Tendon disorders; children<18,GI upset; tendonitis,QT prolongation with antiarrhythmics,Category C — use only if needed
Ranitidine,H2 blocker,Blocks H2 receptors reducing acid secretion,GERD; Gastritis,150mg BD,2–4mg/kg BD,"Adjust if CrCl < 50",Safe,Malignancy suspicion,Headache; constipation,May ↓ absorption of azoles,Category B — safe
Amlodipine,Calcium channel blocker,Blocks Ca2+ entry → vasodilation,Hypertension; Angina,5–10mg OD,0.05–0.1mg/kg OD,"No major change",Use caution,Severe hypotension,Edema; flushing,Increases cyclosporine levels,Category C — caution
Losartan,ARB,Blocks AT1 receptors → ↓ BP,Hypertension; Diabetic nephropathy,50–100mg OD,Not for children<6,"Adjust if CrCl < 30","Avoid in liver impairment",Pregnancy; renal artery stenosis,Hyperkalemia; dizziness,ACEi ↑ hyperkalemia,Category D — avoid
Atorvastatin,Statin,Inhibits HMG-CoA reductase → ↓ LDL,Hyperlipidemia,10–40mg OD,Not recommended,"No renal change","Avoid in severe hepatic disease",Pregnancy; liver disease,Myopathy; ↑ LFTs,Interacts with macrolides/azole,Category X — Contraindicated
Metformin,Biguanide,↓ Liver glucose output; ↑ insulin sensitivity,Type 2 Diabetes,500–1000mg BD,Not recommended <10yrs,"Avoid if CrCl < 30","Avoid in hepatic disease",DKA; renal failure,Lactic acidosis; GI upset,Alcohol ↑ lactic acidosis,Category B — safe
Sitagliptin,DPP-4 inhibitor,↑ Incretin → ↑ insulin release,Type 2 Diabetes,100mg OD,Not recommended under 18,"Adjust if CrCl < 45",Safe,Pancreatitis,Joint pain; nasopharyngitis,Rifampin ↓ effect,Category B
Doxycycline,Tetracycline,Binds 30S ribosome → inhibits protein synthesis,RTI; Acne,100mg BD,Not recommended <8yrs,"No renal change","Avoid severe hepatic disease",Pregnancy; children tooth stain,GI upset; photosensitivity,Antacids ↓ absorption,Category D — avoid
Rabeprazole,PPI,Blocks proton pump → ↓ acid,GERD; Ulcers,20mg OD,0.5–1mg/kg OD,Slight adjustment,Use caution,Severe hepatic dysfunction,Headache; GI upset,↓ Absorption of ketoconazole,Category B
Ondansetron,Anti-emetic,5HT3 receptor antagonist,Nausea/Vomiting,4–8mg TID,0.1mg/kg/dose,"No renal change","Use caution",QT prolongation,Constipation; headache,↑ QT with SSRIs,Category B — safe
Levofloxacin,Fluoroquinolone,Blocks topoisomerase IV,Bacterial infections,500mg OD,10mg/kg OD,"Adjust if CrCl < 50","Use caution",Pregnancy; tendon injury,GI upset; QT prolongation,Increases INR with warfarin,Category C
Salbutamol,Beta-2 agonist,Bronchodilation,Asthma/COPD,2–4mg TID,0.1mg/kg/dose,"No renal change","Safe",Cardiac arrhythmia,Tremors; palpitations,B-blockers ↓ effect,Category C
Montelukast,Leukotriene antagonist,Blocks leukotriene receptors,Asthma; Allergic rhinitis,10mg OD >15yrs,4–5mg chewable OD,"No change","Safe",Neuropsychiatric events,GI upset; headache,Category B
Budesonide,Inhaled corticosteroid,Reduces airway inflammation,Asthma,200–400mcg BD,100–200mcg BD,"No renal change","Caution",Acute infections,Hoardiness; thrush,Strong CYP3A4 inhibitors ↑ levels,Category C
Fluconazole,Antifungal,Inhibits ergosterol synthesis,Candidiasis,150mg OD,6mg/kg day1→3mg/kg OD,"Adjust if CrCl < 50","Avoid liver disease",Hepatotoxicity,QT prolongation,Category C
Clopidogrel,Antiplatelet,Inhibits P2Y12 platelet receptor,ACS; Stroke prevention,75mg OD,Not established,"No renal change","Caution in hepatic disease",Bleeding,PPIs reduce effect (esp. Omeprazole),Category B
Rosuvastatin,Statin,Inhibits HMG-CoA reductase,Hyperlipidemia,10mg OD,Not recommended,"Adjust if CrCl < 30","Avoid hepatic disease",Myopathy; ↑ LFT,Warfarin ↑ INR,Category X — avoid
Telmisartan,ARB,Blocks angiotensin receptors,Hypertension,40mg OD,Not recommended,"Adjust in CKD","Avoid hepatic disease",Pregnancy,Hyperkalemia,NSAIDs ↓ effect,Category D — avoid
Spironolactone,MRA,Aldosterone antagonist,HF; HTN; Hyperkalemia,25–50mg OD,Not recommended,"Adjust in CKD","Avoid severe hepatic impairment",Hyperkalemia,Gynecomastia; dizziness,ACEi ↑ K+,Category C
Furosemide,Loop diuretic,Blocks Na-K-2Cl transporter,HF; Edema,20–40mg OD/BD,"Use caution","Major adjustment in CKD","Avoid hepatic coma",Electrolyte imbalance,↑ Toxicity with aminoglycosides,Category C
