generic_name,drug_class,indications,adult_dose,pediatric_dose,common_side_effects,contraindications,pregnancy_category
Paracetamol,Analgesic/Antipyretic,Fever and mild pain,500-1000 mg every 6h (max 4g/day),15 mg/kg every 6h,Nausea; hepatotoxicity,Liver failure,C
Amoxicillin+Clavulanic Acid,Antibiotic,Bacterial infections,500-875 mg every 12h,25-45 mg/kg/day in 2 doses,Diarrhea; rash; allergy,Penicillin allergy,B
Azithromycin,Antibiotic,Respiratory and skin infections,500 mg day 1 then 250 mg daily,10 mg/kg day 1 then 5 mg/kg,Diarrhea; QT prolongation,History of arrhythmia,B
Cefixime,Antibiotic,UTI; otitis; respiratory infections,200-400 mg/day divided doses,8 mg/kg/day in 2 doses,Diarrhea; allergy,Severe penicillin allergy,B
Pantoprazole,PPI,Acid reflux,40 mg daily,1 mg/kg daily,Headache; dizziness,Severe hepatic impairment,B
Omeprazole,PPI,GERD and ulcers,20-40 mg daily,1-3 mg/kg/day,Nausea; headache,Severe hepatic impairment,C
Fexofenadine,Antihistamine,Allergy,60-180 mg/day,30 mg twice daily,Sleepiness rare,Renal impairment,C
Levocetirizine,Antihistamine,Allergic rhinitis,5 mg daily,2.5 mg daily in children >6 yrs,Drowsiness; renal impairment,C
Montelukast,Leukotriene Antagonist,Asthma & allergic rhinitis,10 mg daily,4-5 mg chewable daily,Behavior changes; suicidal thoughts,B
Ranitidine,H2 blocker,Acid reflux,150 mg twice daily,2-4 mg/kg twice daily,Headache; dizziness,History of gastric cancer,C
